url,count
['http://104.208.155.37/ISIS.sh;'],100
['http://142.11.216.5/xxxbins.sh;'],59
['http://51.75.191.234/sh;'],10
['http://191.232.48.138/fuckjewishpeople.sh;'],8
['http://45.130.138.67/sh;'],8
['http://40.124.98.129/0x03a0/ok.sh;'],5
['http://45.144.225.151/huh.sh;'],5
['http://52.152.130.178/sh;'],5
['http://dns.cyberium.cc/script/ssh'],4
['http://194.15.36.227/darknetbins.sh;'],3
['http://128.199.33.47/EkSgbins.sh;'],2
['http://128.199.33.47/sumobins.sh;'],2
['http://109.104.151.108/0x83911d24Fx.sh;'],2
['http://144.126.223.80/incubusdream.sh;'],2
"['http://71.127.148.69/.x/1sh', 'http://71.127.148.69/.x/2sh']",2
['http://kranskerstuff.kozow.com:8281/sshd'],2
['http://45.151.68.222/incubusdream.sh;'],2
['http://104.168.172.20/333Sao999Sao666/vps.sh;'],2
['http://samp-lsgw.net/huh.sh;'],2
['http://45.130.138.70/sh;'],1
['http://195.58.38.73/GoOgle.sh;'],1
['http://198.23.212.27/we.sh;'],1
['http://91.240.87.252/8UsA.sh;'],1
['http://104.168.46.11/seraph.sh;'],1
['http://45.153.203.149/z.sh;'],1
['http://venus.lol/Pemex.sh;'],1
['http://185.239.243.27/projectdream.sh;'],1
